,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
924,0.6106510000000003,0.6159309999999996,0.6137763333333334,0.6147470000000003,0.002262188517539565,0,8,58064896,all_reduce,8,8
925,0.6157390000000005,0.621788,0.6180746666666669,0.6166970000000002,0.0026546907331905932,0,8,58195968,all_reduce,8,8
926,0.620411,0.6227809999999999,0.6216386666666668,0.6217240000000002,0.0009694281246636073,0,8,58327040,all_reduce,8,8
927,0.6166989999999997,0.6234229999999998,0.6197196666666666,0.6190370000000003,0.0027871812921939085,0,8,58458112,all_reduce,8,8
928,0.6172770000000001,0.6215019999999996,0.6187373333333333,0.617433,0.001955951658116321,0,8,58589184,all_reduce,8,8
929,0.6186510000000007,0.6286659999999993,0.6249869999999997,0.6276439999999993,0.004499614279764501,0,8,58720256,all_reduce,8,8
930,0.620091,0.6247310000000003,0.6225130000000001,0.6227170000000001,0.0018997564756218475,0,8,58851328,all_reduce,8,8
931,0.6216279999999997,0.6252759999999998,0.6238466666666663,0.6246359999999995,0.0015904425659405421,0,8,58982400,all_reduce,8,8
932,0.6219160000000001,0.6318040000000001,0.6261716666666667,0.6247949999999997,0.0041524727037701315,0,8,59113472,all_reduce,8,8
933,0.6224610000000003,0.6276130000000003,0.6249250000000002,0.6247010000000001,0.002109250735845973,0,8,59244544,all_reduce,8,8
934,0.6218199999999997,0.6318679999999995,0.6256599999999999,0.6232920000000004,0.004430661651115427,0,8,59375616,all_reduce,8,8
935,0.6216290000000003,0.6246370000000007,0.6226416666666669,0.6216589999999996,0.0014109668867682424,0,8,59506688,all_reduce,8,8
936,0.6178200000000001,0.63254,0.6239966666666668,0.6216300000000001,0.006238078407828918,0,8,59637760,all_reduce,8,8
937,0.6179490000000005,0.6260119999999997,0.6219373333333337,0.6218510000000006,0.003292271994973469,0,8,59768832,all_reduce,8,8
938,0.620348,0.6316120000000001,0.6255533333333335,0.6247000000000007,0.004637927506500654,0,8,59899904,all_reduce,8,8
939,0.6251800000000003,0.6285079999999998,0.627132,0.627708,0.0014183859371363502,0,8,60030976,all_reduce,8,8
940,0.6258179999999998,0.6431639999999997,0.631889,0.6266850000000004,0.007980482065639748,0,8,60162048,all_reduce,8,8
